departamento,victimas
ANTIOQUIA,80
ARAUCA,17
ATLANTICO,5
BOGOTA,5
BOLIVAR,10
BOYACA,4
CALDAS,4
CAQUETA,27
CASANARE,6
CAUCA,128
CESAR,13
CHOCO,18
CORDOBA,20
CUNDINAMARCA,6
GUAVIARE,3
HUILA,15
LA GUAJIRA,6
MAGDALENA,8
META,13
NARINO,31
NORTE DE SANTANDER,43
PUTUMAYO,32
QUINDIO,2
RISARALDA,12
SANTANDER,5
SUCRE,2
TOLIMA,6
VALLE DEL CAUCA,35
VICHADA,4
